Age,Date,Census21 population,ONS population,NIMS population,First doses by midpoint,Second doses completed 21 days before midpoint,Third dose completed 21 days before midpoint
30-39 ,wk 6-9,"7,748,000","7,603,773","9,608,381","6,789,155","6,346,689","4,156,284"
30-39 ,wk 7-10,"7,748,000","7,603,773","9,608,381","6,792,690","6,359,262","4,187,987"
30-39 ,wk 8-11,"7,748,000","7,603,773","9,608,381","6,795,532","6,370,813","4,213,450"
40-49 ,wk 32-35,"7,183,000","7,083,901","8,321,176","6,353,511","5,528,293","1,804"
40-49 ,wk 33-36,"7,183,000","7,083,901","8,321,176","6,366,987","5,700,207","1,930"
40-49 ,wk 34-37,"7,183,000","7,083,901","8,321,176","6,379,943","5,804,087","2,072"
40-49 ,wk 35-38,"7,183,000","7,083,901","8,321,176","6,392,514","5,878,072","2,231"
40-49 ,wk 36-39,"7,183,000","7,083,901","8,321,176","6,405,218","5,931,914","2,327"
40-49 ,wk 37-40,"7,183,000","7,083,901","8,321,176","6,415,400","5,978,296","2,506"
40-49 ,wk 38-41,"7,183,000","7,083,901","8,321,176","6,425,256","6,018,187","5,327"
40-49 ,wk 39-42,"7,183,000","7,083,901","8,321,176","6,434,358","6,047,894","35,355"
40-49 ,wk 40-43,"7,183,000","7,083,901","8,321,176","6,444,025","6,071,181","109,339"
40-49 ,wk 41-44,"7,183,000","7,083,901","8,321,176","6,452,056","6,092,566","203,835"
40-49 ,wk 42-45,"7,183,000","7,083,901","8,321,176","6,459,897","6,111,822","298,863"
40-49 ,wk 43-46,"7,183,000","7,083,901","8,321,176","6,468,241","6,129,991","391,265"
40-49 ,wk 44-47,"7,183,000","7,083,901","8,321,176","6,476,858","6,146,544","489,745"
40-49 ,wk 45-48,"7,183,000","7,083,901","8,321,176","6,486,874","6,164,659","634,716"
40-49 ,wk 46-49,"7,183,000","7,083,901","8,321,176","6,496,931","6,180,244","809,834"
40-49 ,wk 47-50,"7,183,000","7,083,901","8,321,176","6,514,000","6,196,423","1,086,808"
40-49 ,wk 48-51,"7,183,000","7,083,901","8,321,176","6,525,625","6,214,103","1,495,356"
40-49 ,wk 49-52,"7,183,000","7,083,901","8,321,176","6,536,116","6,234,406","2,502,127"
40-49 ,wk 50-1,"7,183,000","7,083,901","8,321,176","6,547,694","6,261,202","3,915,498"
40-49 ,wk 51-2,"7,183,000","7,083,901","8,321,176","6,557,112","6,272,301","4,233,741"
40-49 ,wk 52-3,"7,183,000","7,083,901","8,321,176","6,564,526","6,285,751","4,512,303"
40-49 ,wk 1-4,"7,183,000","7,083,901","8,321,176","6,568,976","6,297,796","4,668,077"
40-49 ,wk 2-5,"7,183,000","7,083,901","8,321,176","6,571,938","6,308,003","4,741,553"
40-49 ,wk 3-6,"7,183,000","7,083,901","8,321,176","6,574,373","6,316,801","4,795,988"
40-49 ,wk 4-7,"7,183,000","7,083,901","8,321,176","6,576,648","6,323,797","4,830,404"
40-49 ,wk 5-8,"7,183,000","7,083,901","8,321,176","6,578,481","6,330,542","4,863,568"
40-49 ,wk 6-9,"7,183,000","7,083,901","8,321,176","6,580,207","6,336,018","4,887,425"
40-49 ,wk 7-10,"7,183,000","7,083,901","8,321,176","6,581,651","6,341,437","4,907,125"
40-49 ,wk 8-11,"7,183,000","7,083,901","8,321,176","6,582,770","6,346,542","4,923,102"
50-59 ,wk 32-35,"7,714,000","7,686,367","8,428,236","7,269,757","6,935,769",2364
50-59 ,wk 33-36,"7,714,000","7,686,367","8,428,236","7,275,766","6,967,267",2480
50-59 ,wk 34-37,"7,714,000","7,686,367","8,428,236","7,281,512","6,991,619",2576
50-59 ,wk 35-38,"7,714,000","7,686,367","8,428,236","7,287,118","7,013,480",2683
50-59 ,wk 36-39,"7,714,000","7,686,367","8,428,236","7,292,692","7,030,383",2779
50-59 ,wk 37-40,"7,714,000","7,686,367","8,428,236","7,297,334","7,045,423",2943
50-59 ,wk 38-41,"7,714,000","7,686,367","8,428,236","7,301,849","7,060,037",7246
50-59 ,wk 39-42,"7,714,000","7,686,367","8,428,236","7,306,112","7,072,058",72086
50-59 ,wk 40-43,"7,714,000","7,686,367","8,428,236","7,310,706","7,082,185",219394
50-59 ,wk 41-44,"7,714,000","7,686,367","8,428,236","7,314,883","7,091,656",385632
50-59 ,wk 42-45,"7,714,000","7,686,367","8,428,236","7,319,011","7,100,637",556294
50-59 ,wk 43-46,"7,714,000","7,686,367","8,428,236","7,323,597","7,109,559",742563
50-59 ,wk 44-47,"7,714,000","7,686,367","8,428,236","7,328,284","7,117,842",958498
50-59 ,wk 45-48,"7,714,000","7,686,367","8,428,236","7,333,915","7,127,916",1341748
50-59 ,wk 46-49,"7,714,000","7,686,367","8,428,236","7,339,860","7,137,558",1884711
50-59 ,wk 47-50,"7,714,000","7,686,367","8,428,236","7,350,038","7,151,157",2657161
50-59 ,wk 48-51,"7,714,000","7,686,367","8,428,236","7,356,710","7,164,667",3637076
50-59 ,wk 49-52,"7,714,000","7,686,367","8,428,236","7,362,445","7,177,478",4753717
50-59 ,wk 50-1,"7,714,000","7,686,367","8,428,236","7,368,262","7,193,413",5723394
50-59 ,wk 51-2,"7,714,000","7,686,367","8,428,236","7,373,090","7,199,435","5,917,880"
50-59 ,wk 52-3,"7,714,000","7,686,367","8,428,236","7,377,220","7,206,286","6,073,733"
50-59 ,wk 1-4,"7,714,000","7,686,367","8,428,236","7,379,479","7,212,368","6,160,884"
50-59 ,wk 2-5,"7,714,000","7,686,367","8,428,236","7,381,040","7,217,543","6,204,354"
50-59 ,wk 3-6,"7,714,000","7,686,367","8,428,236","7,382,291","7,222,097","6,238,746"
50-59 ,wk 4-7,"7,714,000","7,686,367","8,428,236","7,383,400","7,225,542","6,260,072"
50-59 ,wk 5-8,"7,714,000","7,686,367","8,428,236","7,384,271","7,228,999","6,278,975"
50-59 ,wk 6-9,"7,714,000","7,686,367","8,428,236","7,385,129","7,231,801","6,293,153"
50-59 ,wk 7-10,"7,714,000","7,686,367","8,428,236","7,385,884","7,234,417","6,305,359"
50-59 ,wk 8-11,"7,714,000","7,686,367","8,428,236","7,386,461","7,236,919","6,314,817"
60-69 ,wk 32-35,"6,023,600","6,098,416","6,638,635","6,004,374","5,845,643",1812
60-69 ,wk 33-36,"6,023,600","6,098,416","6,638,635","6,006,729","5,855,132",1898
60-69 ,wk 34-37,"6,023,600","6,098,416","6,638,635","6,008,904","5,863,161",1996
60-69 ,wk 35-38,"6,023,600","6,098,416","6,638,635","6,011,047","5,870,711",2084
60-69 ,wk 36-39,"6,023,600","6,098,416","6,638,635","6,013,265","5,876,682",2175
60-69 ,wk 37-40,"6,023,600","6,098,416","6,638,635","6,015,116","5,881,929",2364
60-69 ,wk 38-41,"6,023,600","6,098,416","6,638,635","6,016,949","5,887,151",6180
60-69 ,wk 39-42,"6,023,600","6,098,416","6,638,635","6,018,822","5,891,970",57669
